a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
bian 变便边编遍辩鞭辨贬匾扁卞汴辫砭苄蝙鳊弁笾煸褊碥忭抃昪萹𨚕㝸㣐㦚㭓㲢㳎㳒㴜㵷㺕㺹䁵䉸䐔䒪䛒䟍䡢䪻変封峅徧惼拚揙汳炞牑猵獱玣甂疺稨稹窆箯籩糄編緶缏臱艑藊覍覵變豍貶辡辧辮辯辺邉邊邲釆鍽閞鞕頨鯾鯿鴘鶣𠐈𠑟𠓫𠪂𠭹𠯴𠷖𡈯𡊅𡬯𡬲𡬸𢩟𢬵𢭥𢴂𢻶𣈠𣝜𣩀𣪭𣸇𤀫𤀲𤄺𤺇𤻶𥍚𥣝𥣰𥿋𦇭𦉙𦟣𦽟𧩰𧸘𨐾𨖠𨖾𨥧𨧕𨩫𨳲𩩯𩰍𪉱𪏗𪓍𪖯𱖅
biang 𰻝𰻞𱿗𲁓
biao 表标彪镖裱膘飙镳婊骠飑杓鳔瘭俵儦幖摽瀌熛脿蔈藨骉㟽㠒㧼㯹㶾䁃䁭䅺䔸䙳䞄䮽僄剽墂嫖標檦淲滮漂灬爂猋磦穮篻膔臕苞褾諘謤贆錶鏖鏢鑣颩颮颷飆飇飈飊飚驃驫髟鰾麃𠔂𠚠𠬪𢅚𢒯𢿏𣄠𤂆𤆀𤐫𥘤𥲦𦔗𦔩𦠎𦾑𧝪𧥍𧳀𧴎𧴕𨭚𩙪𩪊𩴩𩽁
bie 别鳖憋瘪蹩咇㔡㢼㧙㭭㿜䇷䋢䌘䏟䘷䟤䠥䭱䳤別彆徶扒拔捌撇柭柲癟癿秘穪苾莂蔽虌蛂蟞襒鱉鼈龞𠍯𡐞𡘴𡙀𡙪𡷘𢆣𢐳𢛎𢠳𣇢𣊶𤉤𤷗𤺓𤾵𥞲𥡁𧆊𧌽𧝬𧧸𧿥𨂅𨒜𩓝𩠻𩡟𩦉𩵛𩸁𪂟𪐆
bin 宾滨斌彬濒殡缤鬓槟摈膑玢镔豳髌傧邠㟗㯽㻞䐔䚔䧬䨈份儐擯攽梹椕檳殯氞汃浜濱濵瀕瑸璸砏繽臏虨訜豩賓賔贇鑌霦頻顮髕髩鬂鬢𠴇𡦆𡦻𡧍𡧼𢲰𣉮𣢏𣰨𥃰𧷟𧸈𨐰𨽗𩆱𩴱𪇕
bing 并病兵冰饼炳秉丙摒柄禀邴昺蛃㓈㨀䔊䗒䴵並仌仒併倂偋傡冫垪寎屏平幷庰怲抦拼掤昞枋栟栤梹棅槟檳氷燹琕痭癛眪稟窉竝絣綆苪誁跰鈵鉼鋲陃靐鞆鞞鞸餅餠鮩𠊧𠒝𠛥𠱛𡇤𡖛𡚛𡲍𡹾𢆩𢊜𢎴𢔧𣅍𣦪𣰜𥖬𥲂𦡻𦼹𦿅𨆱𨋲𨹗𩊖𩋒𩏂𩬝𩮟𩶁𪑰
bo 波博播勃拨伯玻搏泊舶剥渤卜驳脖膊簸菠礴箔铂亳钵帛擘饽跛钹檗啵鹁踣僰哱嶓桲欂浡砵袯镈馞鲌𨨏𬭛㗘㝿㞈㟑㩧㩭㪍㬍㬥㬧㴾㵨㶿㹀㼎㼟㼣䂍䃗䄶䊿䌟䍸䑈䗚䙏䝛䞳䟔䟛䟮䢌䢪䥬䪇䪬䬪䭦䭯䮀䮡䯋䰊䳁䵗䶈仢佛侼僠剝募噃嚗壆妭孛孹帗彴怕愽懪拍拔挬撥擗暴服柏柭榑檘殕淿溊溥潑潘瀑煿爆牔犦犻狛猼瓝瓟番癶癷發白百皪盋碆磻礡秡穛箥簙簿糪紴缽肑胉般艊艴苩茀茷菩萡葧蒲蔔蔢蕃薄薜蘖蘗蚾袚袰袹襎襏襮詙譒豰趵跑蹳郣鈸鉑鉢鋍鎛鑮餑餺馎馛駁駮驋髆髉魄鮁鮊鱍鲅鵓𠧛𠮭𠱀𠴸𠷺𠸳𠺣𡀖𡅂𡋯𡯳𡯷𢂍𢐾𢠺𢣞𢩞𢫯𢺽𣋵𣛓𣧧𣭷𣽡𤃵𤒔𤕝𤗳𤗺𤚽𤜧𤶋𤾝𤿑𥜖𥭖𥮯𥴮𥸥𥸨𥹸𦃙𦈞𦋉𦢊𦤚𦤣𦯉𦰬𦲱𦼭𦽮𧇚𧘟𧙄𧟱𧲯𧿲𨈩𨍭𨏫𨭂𩃶𩄿𩈔𩌏𩍿𩏯𩓐𩗀𩗒𩗓𩙦𩜥𩟕𩣡𩧯𩬸𩯌𩱚𩷚𩽛𪌰𪍡𪓜𪙍𪚷
bong 𱿅
bu 不部步布补捕卜埠簿哺怖钚卟瓿逋晡醭埗蔀鵏𫐓𬷕㘵㙛㚴㨐㱛㳍㻉㾟䀯䊇䋠䍌䏽䑰䒀䝵䪁䪔䬏䳝䴺佈僕勏吥咘喸埔堡婄尃峬庯廍悑抪拊捗捬撲柨歨歩溥秿箁篰荹薄補誧踄輹轐郶鈈鈽钸附陠鞴餔餢鯆鳪鸔鿻𠘁𠚉𠜙𡡐𢁻𢇴𢼹𣱶𤚵𤣰𤸵𥃨𥑢𥣌𥪀𥳖𥸨𥹴𥻞𧉩𧻷𨋞𨛒𨴪𩅇𩊬𩊶𩌏𩏮𩏵𩢕𩣝𩯏𩶉𩷖𩺼𩻗𪇰𫗦
ca 擦嚓䃰䌨䟃䵽傪囃拆攃磣礤礸蔡遪𤄖𥗭𥩝𨆾𨺭𪊗
cai 才采财材菜彩裁蔡猜踩睬偲㒲㥒䌨䌽䐆䞗䟀䠕䣋䰂䴭倸啋埰婇寀扐採揌棌毝綵縩纔財跴𡣮𢎂𤁱𤚀𤝭𤟖𤷕𦬁𧀊𧵤𨙴𨯓𩁞𩧇𪇭𮉯
can 参残餐灿惨蚕掺璨惭粲孱骖黪䅟㛑㜗㜞㣓㥇㦧㨻㱚㻮㽩㿊䉔䍼䏼䗝䗞䘉䙁䛹䝳䟃䣟䱗䳻傪儏參叄叅喰嘇噆囋嬠嵾慘慙慚憯戔摲摻朁殘淺湌澯燦爘穇篸縿薒蝅蠶蠺謲蹔鏒飡飱驂鰺黲𠠋𠡡𠫭𡆮𡛝𡡖𢦸𢧮𢾃𣦼𣶡𣻬𤅒𥂥𥠩𥢽𥮾𥹛𦪜𦪫𦺐𧅀𧓩𨅔𨞷𨲱𩀧𩈻𩈼𩛳𩝖𩞀𩟒𩯞𪆶𮬞
cang 藏仓苍沧舱伧鸧㵴㶓䅮䢢仺倉傖凔匨嵢欌滄濸獊瑲篬臧艙蒼蔵螥賶鑶鶬𠥐𡽴𡾻𡿄𤚬𦾝𨤃𩀞𩕹𩝞𱮷
cao 草操曹槽糙嘈漕螬艚𥕢㜖㯥㿷䄚䎭䏆䐬䒃䒑傮屮嶆愺慅慒慥懆撡曺澡肏艸艹蓸褿襙造鄵鏪鐰騲鼜𠀊𠹊𡮦𣈅𣉿𤒕𤡐𤵥𥲍𦋿𨎝𩞄𩠎𩫥
ce 策测册侧厕恻㥽㨲㩍䇲䈟䊂䔴䜺側冊厠墄嫧幘廁惻憡拺敇栅測畟笧筞筴箣簎粣荝萗萴蓛赦齰𡍫𢷾𢿸𣌧𥠉𥬰𥰡𥳯𦔎𦣧𦵪𧵡𨶨𩒄𱲆
cei 𤭢
cen 岑涔梣㞤㞥䅾䤁䨙䫈䲋参參嵾汵硶穇笒篸𣡎𦊃𨁊𨥣𨱼𩅨𩅮𩻛
ceng 层曾蹭噌嶒㣒㬝䁬䉕僧增層曽橧竲繒鄫驓𠟂𡃆𡪠𡾓𢅋𤛢𦠇𧲅
cha 查察差茶插叉刹茬岔诧碴姹杈汊衩搽槎镲檫馇锸猹侘垞嵖蹅𥻗㛼㜘㡸㢉㢒㣾㤞㪯㫅㮑㲼㳗䁟䂳䅊䒲䓭䕓䛽䟕䠡䡨䤩䶪仛偛喳嗏嚓土奼岎扠扱挿捈捷接揷摖斜梌楂疀秅紁肞臿艖芆苴荖荼褨訍詧詫釵鉏銟鍤鎈鑔靫餷𠝞𠞊𠽹𡋨𡌚𡝐𡝙𡨀𡵌𢔣𢘹𢣼𢭅𣃍𣆗𣍏𣘤𣘻𣱱𤜫𤜯𤞠𤳅𤳵𤵾𤶠𥃀𥌀𥑥𥥸𥫢𦉆𦑈𦑣𦛝𦝥𦦘𦦜𦦱𦳘𧠈𧩫𧫗𧶵𨀸𨃓𨆇𨙳𨩨𨪺𨼑𩝟𩟔𩴳𪑂𪑨𪒼𪘾
chai 拆柴钗豺侪虿瘥茝㑪㦅㳗㼮㾹䐤䓱䘍䜺䞗儕喍囆差扠搓查犲祡芆茈蔕蠆袃訍釵齜𠞊𡟭𡺵𢹓𤝔𤞗𤠌𥐟𦏱𦐰𦑏𧀱𧒨𧓽𧔴𧕧𧪘𧸿𨌅𩑐𲊹
chan 产阐缠掺禅颤铲蝉搀潺蟾馋忏婵孱觇廛谄谗澶骣羼镡躔蒇冁儳刬啴巉旵梴浐瀍燀襜辿镵韂𬊤㙴㙻㚲㢆㢟㤐㦃㨻㬄㯆㰫㶣㸥㹌㹽㺗㺥䀡䂁䊲䐮䑎䜛䠨䡲䣑䤘䤫䥀䦓䦲䧯䩥䩶䪜䫮䱿䴼䵐丳亶佔僝僤儃兔剗剷劖单厘單嘽嚵囅墠壥嬋嬗嵼嶄幝幨憚懴懺摌摲摻撣攙斺棎榐欃毚沾湹滻漸潹瀺灛煘獑產産硟磛禪簅緂緾繟繵纏纒脠艬苫蕆螹蟬蟺袩裧襝襢覘誗諂譂讇讒讖蹍辴鄽酁醦鉆鋋鋓鏟鑱閳闡顫饞𠁷𠋷𠐩𠑆𠑑𠑡𠟉𠣄𠹖𡍌𡎻𡖞𡖤𡝫𡮿𡶴𢁧𢌚𢥋𢱟𢷹𢺟𢽝𣃘𣔵𣔻𣤱𤎥𤗻𤚍𤪮𤮭𤯥𤴿𤸦𤼋𥊓𥧑𥭔𦆀𦈎𦝟𦢙𦸰𧈪𧐲𧓋𧕃𧠛𧥓𧨗𧬦𧴃𧾍𧾡𨄉𨇝𨇦𨊝𨔢𨩪𨪑𨬖𨮻𨲵𨳂𨵍𨷭𨼒𨽊𩍲𩖌𩝚𩟶𩥮𩬑𩮏𩽝𪏁𪏂𪏋𪏦𪓄𪖎𪗂𪙞𪚃𬳲𮣴𱐙𱟫
chang 场长厂常偿昌唱畅倡尝肠敞猖娼裳徜昶怅嫦菖鲳阊伥苌氅惝鬯玚鋹鲿𬬮㙊㦂㫤䅛䗅䗉䠀䠆䩨䮖䯴䱽仧仩倀倘僘償儻兏厰嘗嚐場塲尚廠悵晿暢棖椙淌淐焻琩瑒瑺瓺甞畼脹腸膓萇蟐裮誯鋿錩鏛锠長镸閶闛韔鯧鱨鼚𠙁𠚊𡭿𢁝𢗺𢢌𤢄𤽣𤿼𥇔𥋤𥗊𥟚𥠴𥫅𦰱𦼳𧀄𨎖𨣛𨱮𨷇𩲹𩳤𪁺𪂇𪄹𪉨𮧴𱴐
chao 超朝潮炒钞抄巢吵嘲晁焯耖怊弨㥮㶤㷅䄻䎐䏚䜈䟁䫸䫿䮓䰫䲃䳂仦仯剿劋勦嘮巐巣摷槱樔欩漅濤焣煼牊眧窲粆紹綽縐绰罺觘訬謅謿趠趫轈鄛鈔麨鼂鼌𠰉𡏮𡡊𡯴𡻝𡼼𢁾𣰩𤙴𤰬𥕘𥧇𥲀𥿷𦙧𦨖𦸛𦾱𧧠𨄓𨌬𨗡𨢪𨨚𨴡𩈎𩖥𩱈𩱦𪌬𪍇𪍈𪍑𪎊
che 车彻撤扯澈掣坼砗㬚㒤㔭㤴㥉㨋㱌㳧㵔㾝㿭䁤䊞䋲䒆䚢䛸䜠䞣䧪䰩伡俥偖勶呫唓喢奲宅尺屮徹拆揊摰撦斥池烢烲爡瞮硨硩聅莗蛼詀謵車迠頙𡷖𢇛𢊏𢛁𣨊𤊿𤕛𤖷𤗙𤥭𤹞𥯥𥿊𦈈𦓍𦛖𧙝𧼳𨀠𨅊𨹡𩂻𩎚𩒷𩗙𩴟𪎺𪠳𱰗
chen 陈沉晨琛臣尘辰衬趁忱郴宸谌碜嗔抻榇谶龀梣棽煁疢瞋綝𬘭㕴㥲㧱㫳㲀㴴㽸䀼䆣䏹䐜䑣䒞䜟䞋䟢䠳䢅䢈䢻䣅䤟䫈䫖伧侲傖儭嚫堪填塵墋夦帘愖捵揨敐曟枕桭棧樄橙櫬沈湛瀋疹瘎瘨眈硶磣称稱縝肜胂茞莀莐蔯薼螴襯訦諃諶謓謲讖賝贂趂趻跈踸軙迧醦鈂鍖闖陳霃鷐麎齓齔𠋆𡫁𢆺𢎕𣀍𣞟𤘣𤝚𤟸𤡳𤹛𥉜𥔪𥗒𥞁𥫹𦁄𦁟𧆂𧡬𧨡𧭼𧿒𨑌𨣔𨻖𨼌𨼐𨼤𩂉𩅌𩇖𩞀𪁏𪁧𪕁𮭦
cheng 成程城承称乘诚呈惩撑澄秤橙骋逞瞠丞晟埕塍蛏柽铖酲裎枨偁宬庱憕澂牚珵珹琤赪㐼㓌㛵㞼㨃㲂㼩䁎䄇䆑䆵䇸䔲䕝䗀䚘䞓䟓䟫䧕䫆䮪乗侱倀傖僜净嗆噌埩堘塖娍峸嵊徎徵悜憆懲挰掁搶摚撐撜敞朾棖棦棱椉槍樘橕橖檉檙氶泟洆浧浾淨湞溗瀓爯瑲畻盛盯睈睖矃碀稱穪窚竀筬絾緽罉脀脭荿虰蟶觕誠赬趟踜蹚郕郢醒鋮鎗鏳鏿鐣鐺铛阷靗頳饓騁騬鯎黨𠏧𠓷𠕠𠳽𡝚𡤿𡽊𢐞𢔤𢜻𢜼𢟊𢻓𢾊𢿦𢿧𣀏𣥺𣥻𤆁𤕀𤗓𤿣𥢲𥥱𦓬𦦢𧡈𧯒𧶔𧶸𧷒𧹓𨁎𨅝𨋬𨌤𨎋𨞐𨭃𨹚𩁷𩇜𩙆𩛦𩞦𩠏𩤙𩨆𩫹𩯎𪁋𬲜𱖷𱴇
chi 持吃池迟赤驰尺斥齿翅匙痴耻炽侈弛叱啻坻嗤墀哧茌豉敕笞饬踟蚩媸魑篪褫彳鸱螭瘛眵傺摛漦瓻痓胣𫄨㑜㒆㓼㓾㔑㘜㙜㞴㞿㡿㢁㢋㢮㥡㩽㮛㰞㱀㶴㷰㺈㽚㾹䀸䄜䇪䊼䏧䑛䙙䜄䜉䜵䜻䞾䟷䠠䤲䧝䪧䮈䮻䰡䳵䶔䶵佁侙俿剟勅勑卙卶叺呎呬呹哆喜喫嘯噄噭垑奓她妛岻彨彲徲恜恥慗慸憏懘扡抬抶拆拖拸捇提搋摴攡杘柅柢樆欼歭歯汖沱沶治泜湁滯灻烾熾狋痸瘈癡眙瞝硳祇离移穉竾筂箈箎粚紕絺翄翤翨耛肔胝胵脪腟芪茬荎莉菭蚇蚳蛇蝭袲袳裭訵誀誃誺謘謻貾赿趍趐趩跅跢跮踅踶軧迡迣遅遟遫遲邌郗鉓鉹銐鍉離雴飭飾饎馳騺驪鳷鴟鵄鵣鶒鶗鷘麶黐齒齝齣𠛔𠝨𠞄𠞩𠧚𠧵𠩺𠭋𠮟𠻟𡂙𡉪𡌞𡎍𡖳𡚨𡣀𡳭𡼁𢂝𢇕𢇛𢓎𢔊𢜳𢣕𢨒𢱟𢴨𣆚𣉄𣐃𣙰𣚩𣣷𣤌𣤩𣲋𣲑𣹡𤆍𤈔𤟆𤡏𤡢𤰠𤵬𤸪𥄇𥚚𥛚𥭘𥱻𦂋𦆤𦇲𦎚𦏸𦏿𦐁𦐉𦑡𦔫𦘪𦙆𦞲𦤸𦥊𦱰𦳚𦵟𧀤𧉀𧋗𧎨𧛧𧛺𧠫𧤍𧩚𧩴𧩼𧪡𧭟𧰲𧴁𧺏𧺠𧺧𧺿𧼪𨂰𨑠𨒬𨔤𨖎𨘾𨧳𨨬𨨲𨾛𩈕𩉬𩒐𩚉𩤖𩥲𩳲𩶅𩷧𩾕𩿪𪀦𪅍𪅙𪆵𪉄𪉅𪉗𪌫𪌹𪏐𪏸𫛶𲎅
chong 充冲崇虫宠忡憧舂茺铳艟㳘埫摏漴珫翀㓽㤝㧤㮔㹐䂌䆔䆹䌬䖝䘪䝑䡴䳯偅傭僮喠嘃寵崈徸憃揰樁橦沖浺涌潼烛爞痋盅祌种種緟罿茧蝩蟲衝褈蹖蹱酮重銃隀𠑙𠖥𠝤𠟍𡿂𢖄𢛒𢝈𢡹𢥞𣐯𣑁𥁵𥅻𥫯𥬱𥭥𦑝𦟛𧐍𧘂𧝎𧩃𧼙𧼩𨈮𨖼𨛱𨤩𨳁𨿿𩅃𩅞𩌨𩒘𩜖𩞉𩞋𩥫𩩳𩬤𩰀𪄻𪅈𪅖𪎽𪒒𱖧
chou 筹抽绸酬愁丑臭仇畴稠瞅踌惆俦瘳雠帱侴婤杻椆犨㐜㤽㦞㨨㮲㵞㾄㿒㿧䀺䊭䌧䌷䓓䔏䛣䪮䱔䲖丒偢儔吜嚋圳妯媿嬦幬怞懤扭掫揄搊擣杽栦檮殠溴燽牰犫畤疇皗盩眣矁篘簉籌紬絒綢臰菗薵裯詶謅譸讎讐跾躊遚酧醔醜醻鈕雔魗鮋鯈𠌪𠜋𠝽𠷎𠹝𠼡𠾉𡕐𡕪𢣊𢭆𣀓𣕾𣪐𣫐𤘶𤳝𤳠𤽯𤾊𤾦𥃧𥄨𥏈𥡀𥦅𥬠𥰞𥲅𥵬𥺣𥻤𦡴𦭸𧃝𧮻𨀔𨁀𨖬𨞪𨡑𨡲𨤷𩋄𩌄𩽀𩾂𪇘𫼝𬑡
